Time Stamp(ms), roll(deg), pitch(deg), yaw(deg)
150685, 0.134643, 0.1217664, -6.377412
151688, 0.1359781, 0.1206734, -6.378922
152693, 0.1343513, 0.1246325, -6.379903
153696, 0.1344994, 0.1209243, -6.380736
154696, 0.1333086, 0.1225434, -6.381678
155696, 0.1340575, 0.1202099, -6.382453
156696, 0.1333386, 0.1252656, -6.382947
157700, 0.1334811, 0.1203828, -6.383831
158704, 0.1340465, 0.1237552, -6.384909
159705, 0.1346977, 0.120518, -6.385657
160709, 0.1345629, 0.1240195, -6.38635
161711, 0.1349858, 0.1206988, -6.387553
162714, 0.134223, 0.1244034, -6.388416
163718, 0.1336751, 0.1222223, -6.38914
164723, 0.1341356, 0.1240477, -6.389805
165726, 0.1342534, 0.1214886, -6.39079
166727, 0.1338553, 0.1235564, -6.391025
167731, 0.1332959, 0.1219931, -6.391547
168734, 0.1333638, 0.1210515, -6.392205
169734, 0.1335302, 0.1205477, -6.392441
170736, 0.1337969, 0.1215705, -6.39264
171740, 0.1332711, 0.1212709, -6.393178
172741, 0.1341205, 0.1183079, -6.394063
173745, 0.1327178, 0.1198583, -6.394345
174750, 0.1336425, 0.1198442, -6.393864
175751, 0.1321264, 0.1202025, -6.394413
176752, 0.132906, 0.118066, -6.394966
177753, 0.1307776, 0.1217261, -6.395203
178753, 0.1311159, 0.1188022, -6.395466
179754, 0.1305028, 0.1203958, -6.395501
180755, 0.1316144, 0.117853, -6.395716
181758, 0.1308845, 0.1224401, -6.396051
182761, 0.1320146, 0.1197001, -6.396585
183763, 0.1317403, 0.1217903, -6.396823
184767, 0.1325859, 0.1192697, -6.396562
185768, 0.1315709, 0.1236015, -6.397042
186770, 0.1323928, 0.1187569, -6.39822
187772, 0.1321298, 0.1223954, -6.398584
188776, 0.1333869, 0.1190252, -6.398841
189777, 0.1328216, 0.1221491, -6.399473
190781, 0.1324787, 0.1184501, -6.399946
191784, 0.1314785, 0.1210849, -6.399905
192787, 0.1315925, 0.1198179, -6.400033
193787, 0.13088, 0.1210611, -6.400315
194787, 0.1312828, 0.1192931, -6.400376
195789, 0.1314765, 0.120596, -6.400244
196791, 0.1318008, 0.1204096, -6.400104
197794, 0.1320189, 0.1187902, -6.400131
198794, 0.1324134, 0.1195809, -6.400034
199797, 0.1326173, 0.1204027, -6.400535
200800, 0.1327133, 0.1216294, -6.400887
201804, 0.1326318, 0.1203662, -6.401733
202808, 0.1325739, 0.1221011, -6.40218
203810, 0.1329694, 0.1190977, -6.402811
204815, 0.1323598, 0.1209878, -6.402537
205819, 0.1318939, 0.1163061, -6.402679
206824, 0.1323231, 0.1204085, -6.402782
207826, 0.1318772, 0.1172707, -6.402866
208828, 0.1310509, 0.1198063, -6.402452
209831, 0.131354, 0.117222, -6.402557
210836, 0.1322492, 0.1221496, -6.401879
211838, 0.1321249, 0.1194464, -6.40272
212839, 0.1319903, 0.1234756, -6.402948
213842, 0.1316366, 0.1188288, -6.40259
214845, 0.1308611, 0.1219408, -6.402385
215847, 0.1315127, 0.1193571, -6.402675
216846, 0.1306907, 0.1213521, -6.40294
217850, 0.1319977, 0.1197181, -6.402603
218852, 0.1319129, 0.1215257, -6.402358
219856, 0.1328129, 0.119402, -6.402734
220860, 0.1320239, 0.120716, -6.402846
221862, 0.1315581, 0.1207874, -6.40288
222863, 0.1308809, 0.119319, -6.402164
223865, 0.1314334, 0.1188277, -6.402169
224867, 0.1308829, 0.1182471, -6.402576
225872, 0.1313892, 0.1190726, -6.402513
226875, 0.1316154, 0.1200405, -6.403197
227878, 0.1323165, 0.1203506, -6.402904
228879, 0.1315165, 0.1190872, -6.403143
229881, 0.1318018, 0.1200523, -6.403033
230886, 0.1311546, 0.1172834, -6.403656
231890, 0.1319657, 0.1200381, -6.404472
232889, 0.1313257, 0.116945, -6.404516
233890, 0.1318801, 0.119815, -6.404502
234893, 0.1325623, 0.1165021, -6.404709
235896, 0.1331505, 0.1205091, -6.405295
236901, 0.1324255, 0.1185726, -6.405825
237902, 0.1327717, 0.122881, -6.405197
238902, 0.1320359, 0.1177449, -6.405018
239907, 0.1320374, 0.1204435, -6.404593
240911, 0.1313217, 0.1165397, -6.405168
241914, 0.1311796, 0.1205333, -6.405052
242914, 0.1302147, 0.1157437, -6.404757
243917, 0.1307323, 0.1190582, -6.405134
244922, 0.1298394, 0.11691, -6.405503
245926, 0.1309849, 0.1198084, -6.404704
246928, 0.1315415, 0.1171695, -6.404496
247930, 0.1322825, 0.1212979, -6.404416
248932, 0.1320736, 0.1204014, -6.404501
249934, 0.1330228, 0.1195898, -6.404614
250936, 0.1319132, 0.1187456, -6.404336
251938, 0.1308258, 0.1199202, -6.404209
252942, 0.1312242, 0.1202368, -6.404556
253946, 0.1311371, 0.1176098, -6.404517
254947, 0.1309346, 0.119679, -6.404397
255950, 0.1309225, 0.1190227, -6.404287
256951, 0.1308362, 0.1216711, -6.404171
257951, 0.1303644, 0.1178837, -6.404215
